,cell type,cell category,"notes, sensilla, modality",
ASJL,sensory,SN6,amphid,
ASJR,sensory,SN6,amphid,
ASKL,sensory,SN6,amphid,
ASKR,sensory,SN6,amphid,
ASGL,sensory,SN6,amphid,
ASGR,sensory,SN6,amphid,
ASIL,sensory,SN6,amphid,
ASIR,sensory,SN6,amphid,
AFDL,sensory,SN6,amphid,
AFDR,sensory,SN6,amphid,
AWAL,sensory,SN6,amphid,
AWAR,sensory,SN6,amphid,
AWBL,sensory,SN6,amphid,
AWBR,sensory,SN6,amphid,
AWCL,sensory,SN6,amphid,
AWCR,sensory,SN6,amphid,
ASEL,sensory,SN6,amphid,
ASER,sensory,SN6,amphid,
ADFL,sensory,SN6,amphid,
ADFR,sensory,SN6,amphid,
ASHL,sensory,SN5,"amphid, nociceptive",
ASHR,sensory,SN5,"amphid, nociceptive",
ADLL,sensory,SN5,"amphid, nociceptive",
ADLR,sensory,SN5,"amphid, nociceptive",
BAGL,sensory,SN4,"O2, CO2, social signals, touch",
BAGR,sensory,SN4,"O2, CO2, social signals, touch",
URXL,sensory,SN4,"O2, CO2, social signals, touch",
URXR,sensory,SN4,"O2, CO2, social signals, touch",
ALNL,sensory,SN4,touch,
ALNR,sensory,SN4,touch,
PLNL,sensory,SN4,touch,
PLNR,sensory,SN4,touch,
SDQL,sensory,SN4,touch,"interneuron in White et al., 1986"
SDQR,sensory,SN4,touch,"interneuron in White et al., 1987"
AQR,sensory,SN4,touch,
PQR,sensory,SN4,touch,
ADEL,sensory,SN3,mechanosensory,
ADER,sensory,SN3,mechanosensory,
PDEL,sensory,SN3,mechanosensory,
PDER,sensory,SN3,mechanosensory,
ALML,sensory,SN3,mechanosensory,
ALMR,sensory,SN3,mechanosensory,
AVM,sensory,SN3,mechanosensory,
PVM,sensory,SN3,mechanosensory,
PLML,sensory,SN3,mechanosensory,
PLMR,sensory,SN3,mechanosensory,
FLPL,sensory,SN3,mechanosensory,
FLPR,sensory,SN3,mechanosensory,
